timestamp,latency_seconds
1775591287569,0.201883
1775591289002,0.202833
1775591290435,0.202091
1775591291875,0.202273
1775591293310,0.202577
1775591294745,0.202924
1775591296210,0.202029
1775591297635,0.102239
1775591298977,0.201784
1775591300416,0.202719
1775591301850,0.101751
1775591303216,0.203298
1775591304670,0.202239
1775591306099,0.101760
1775591307437,0.203461
1775591308885,0.202061
1775591310327,0.201842
1775591311794,0.201694
1775591313241,0.201853
1775591314688,0.203133
1775591316111,0.203319
1775591317554,0.202631
1775591319002,0.202043
1775591320447,0.101761
1775591322804,0.102190
1775591324166,0.202137
1775591325611,0.202354
1775591327061,0.202649
1775591328505,0.201882
1775591329948,0.202415
1775591331383,0.102333
1775591332738,0.202144
1775591334232,0.202766
1775591335666,0.202762
1775591337115,0.202721
1775591338549,0.201842
1775591339982,0.202083
1775591341416,0.201602
1775591342852,0.202182
1775591344304,0.202541
1775591345740,0.201957
